,date,article_type,article_number,mode,robust_mode
0,Jun 3,1,300,FM,True
1,Jun 3,2,301,FM,True
2,Jun 3,3,302,FM,True
3,Jun 3,4,303,FM,False
4,Jun 3,5,304,T,True
5,Jun 8,1,305,T,False
6,Jun 8,2,306,No Mode!,
7,Jun 8,3,307,T,True
8,Jun 8,4,308,FM,False
9,Jun 8,5,309,T,True
10,Jun 10,1,310,FM,True
11,Jun 10,2,311,T,True
12,Jun 10,3,312,No Mode!,
13,Jun 10,4,313,CND,
14,Jun 10,5,314,T,True
15,Jun 15,1,315,T,True
16,Jun 15,2,316,CND,
17,Jun 15,3,317,FM,True
18,Jun 15,4,318,T,True
19,Jun 15,5,319,T,True
20,Jun 17,1,320,T,True
21,Jun 17,2,321,FM,True
22,Jun 17,3,322,FM,True
23,Jun 17,4,323,T,False
24,Jun 17,5,324,T,True
25,Jun 22,1,325,T,True
26,Jun 22,2,326,T,True
27,Jun 22,3,327,FM,True
28,Jun 22,4,328,T,True
29,Jun 22,5,329,T,True
