,Eval_1_mode,q_1_maj,Likert_1_mean,Eval_2_mode,q_2_maj,Likert_2_mean,Eval_3_mode,q_3_maj,Likert_3_mean,Eval_4_mode,q_4_maj,Likert_4_mean,Eval_5_mode,q_5_maj,Likert_5_mean
nov 13,CND,Y,2.1666666666666665,T,Y,4.5,CND,Y,3.1666666666666665,T,Y,5.333333333333333,T,Y,6.166666666666667
nov 14,T,Y,4.8,FM,Y,1.6,T,Y,5.4,T,Y,5.0,T,Y,6.2
nov 18,FM,Y,1.6,FM,Y,4.0,T,Y,5.8,T,Y,6.8,T,Y,6.6
nov 19,FM,Y,2.6,No Mode!,N,3.2,FM,Y,4.2,T,Y,5.4,T,Y,6.6
nov 20,FM,Y,2.2,T,Y,5.4,FM,Y,2.2,T,Y,5.6,T,Y,6.4
nov 21,FM,Y,1.8,T,Y,5.2,FM,Y,1.8,T,Y,6.2,T,Y,6.8
dec 2,T,Y,6.4,No Mode!,N,3.2,FM,Y,3.2,T,Y,5.4,T,Y,7.0
dec 3,FM,Y,4.0,FM,Y,1.8,T,Y,5.0,T,Y,5.8,T,Y,7.0
dec 4,FM,Y,2.5,FM,Y,4.166666666666667,CND,Y,2.8333333333333335,T,Y,5.5,T,Y,6.666666666666667
dec 5,T,Y,4.4,T,Y,5.0,T,Y,5.6,T,Y,6.6,T,Y,6.6
dec 9,T,Y,5.166666666666667,T,Y,4.5,T,Y,5.833333333333333,T,Y,6.5,T,Y,6.833333333333333
dec 10,FM,Y,2.3333333333333335,FM,Y,3.3333333333333335,T,Y,5.833333333333333,T,Y,6.333333333333333,T,Y,6.833333333333333
dec 11,FM,Y,3.8333333333333335,T,Y,5.0,FM,Y,3.8333333333333335,T,Y,6.666666666666667,T,Y,6.5
dec 12,FM,Y,3.2,T,Y,6.2,T,Y,6.0,T,Y,6.0,T,Y,6.8
dec 16,FM,Y,4.166666666666667,T,Y,5.5,T,Y,5.666666666666667,T,Y,5.166666666666667,T,Y,6.833333333333333
dec 17,FM,Y,4.166666666666667,No Mode!,Y,4.166666666666667,No Mode!,Y,5.166666666666667,T,Y,5.833333333333333,T,Y,6.333333333333333
dec 18,FM,Y,3.0,T,Y,5.833333333333333,No Mode!,Y,4.666666666666667,T,Y,5.666666666666667,T,Y,6.333333333333333
dec 19,FM,Y,4.6,T,Y,5.0,T,Y,5.0,T,Y,7.0,T,Y,7.0
jan 6,FM,Y,2.8,T,Y,4.6,T,Y,6.4,T,Y,6.2,T,Y,6.4
jan 7,T,Y,5.5,T,Y,4.5,T,Y,5.5,T,Y,6.25,T,Y,7.0
jan 8,FM,Y,3.2,T,Y,4.8,T,Y,4.6,FM,Y,3.6,T,Y,6.6
jan 9,T,Y,5.0,No Mode!,N,3.6,T,Y,4.2,T,Y,6.2,T,Y,7.0
jan 13,FM,Y,3.8,FM,Y,3.4,T,Y,6.4,T,Y,6.0,T,Y,7.0
jan 14,T,Y,5.2,No Mode!,N,4.6,T,Y,4.8,T,Y,6.0,T,Y,7.0
jan 15,CND,Y,3.6,T,Y,5.0,T,Y,6.0,T,Y,5.4,T,Y,7.0
jan 21,FM,Y,3.0,T,Y,5.8,FM,Y,3.2,T,Y,6.0,T,Y,6.4
jan 22,No Mode!,Y,3.25,T,Y,4.5,No Mode!,Y,2.5,T,Y,6.75,T,Y,6.75
jan 23,T,Y,5.0,No Mode!,N,4.8,T,Y,5.4,T,Y,6.4,T,Y,6.8
jan 27,T,Y,5.2,T,Y,5.4,FM,Y,3.0,No Mode!,N,2.8,T,Y,7.0
jan 28,FM,Y,3.8,No Mode!,N,4.2,T,Y,5.4,T,Y,5.6,T,Y,6.6
feb 4,FM,Y,2.0,No Mode!,N,3.4,FM,Y,1.2,T,Y,6.6,T,Y,7.0
feb 5,FM,Y,3.5,T,Y,4.5,FM,Y,2.75,T,Y,6.75,T,Y,7.0
feb 6,No Mode!,N,3.2,FM,Y,3.6,FM,Y,2.0,T,Y,7.0,T,Y,7.0
